"Date","CUURA000SATCLTB"
2009-12-01,100
2010-01-01,100.195
2010-02-01,100.528
2010-03-01,100.589
2010-04-01,100.417
2010-05-01,100.491
2010-06-01,100.862
2010-07-01,101.384
2010-08-01,101.638
2010-09-01,101.381
2010-10-01,101.261
2010-11-01,101.13
2010-12-01,101.224
2011-01-01,101.543
2011-02-01,102.236
2011-03-01,102.596
2011-04-01,103.373
2011-05-01,104.529
2011-06-01,105.711
2011-07-01,106.227
2011-08-01,106.391
2011-09-01,105.951
2011-10-01,105.649
2011-11-01,105.309
2011-12-01,105.22
2012-01-01,105.195
2012-02-01,105.409
2012-03-01,105.746
2012-04-01,106.457
2012-05-01,106.898
2012-06-01,107.286
2012-07-01,107.32
2012-08-01,106.935
2012-09-01,106.036
2012-10-01,105.595
2012-11-01,105.291
2012-12-01,105.311
2013-01-01,105.719
2013-02-01,106.065
2013-03-01,106.531
2013-04-01,106.816
2013-05-01,106.842
2013-06-01,106.788
2013-07-01,106.796
2013-08-01,106.769
2013-09-01,106.393
2013-10-01,106.186
2013-11-01,105.924
2013-12-01,105.915
2014-01-01,106.025
2014-02-01,106.267
2014-03-01,106.561
2014-04-01,107.061
2014-05-01,107.192
2014-06-01,106.985
2014-07-01,107.062
2014-08-01,106.804
2014-09-01,106.422
2014-10-01,106.051
2014-11-01,105.417
2014-12-01,105.093
2015-01-01,105.041
2015-02-01,105.855
2015-03-01,106.518
2015-04-01,106.85
2015-05-01,106.935
2015-06-01,106.984
2015-07-01,106.644
2015-08-01,106.206
2015-09-01,105.717
2015-10-01,105.343
2015-11-01,104.935
2015-12-01,104.766
2016-01-01,105.062
2016-02-01,105.625
2016-03-01,106.115
2016-04-01,106.24
2016-05-01,105.968
2016-06-01,105.672
2016-07-01,105.528
2016-08-01,105.215
2016-09-01,104.532
2016-10-01,103.837
2016-11-01,103.384
2016-12-01,103.474
2017-01-01,104.041
2017-02-01,104.313
2017-03-01,104.551
2017-04-01,104.53
2017-05-01,104.318
2017-06-01,103.947
2017-07-01,103.334
2017-08-01,103.011
2017-09-01,102.41
2017-10-01,102.036
2017-11-01,102.106
2017-12-01,102.999
2018-01-01,103.371
2018-02-01,103.577
2018-03-01,103.876
2018-04-01,103.359
2018-05-01,103.331
2018-06-01,103.791
2018-07-01,104.116
2018-08-01,103.947
2018-09-01,102.238
2018-10-01,102.653
2018-11-01,103.314
2018-12-01,103.559
2019-01-01,103.939
2019-02-01,104.071
2019-03-01,104.918
2019-04-01,104.737
2019-05-01,104.177
2019-06-01,104.415
2019-07-01,104.525
2019-08-01,104.672
2019-09-01,103.331
2019-10-01,103.28
2019-11-01,103.033
2019-12-01,103.281
2020-01-01,103.501
2020-02-01,104.086
2020-03-01,104.179
2020-04-01,103.85
2020-05-01,104.185
2020-06-01,103.605
2020-07-01,104.73
2020-08-01,106.478
2020-09-01,106.953
2020-10-01,107.149
2020-11-01,106.778
2020-12-01,107.259
2021-01-01,107.307
2021-02-01,107.605
2021-03-01,108.488
2021-04-01,112.506
2021-05-01,115.967
2021-06-01,122.052
2021-07-01,123.349
2021-08-01,123.512
2021-09-01,122.37
2021-10-01,124.913
2021-11-01,127.084
2021-12-01,130.484
2022-01-01,131.656
2022-02-01,132.493
2022-03-01,131.459
2022-04-01,131.811
2022-05-01,132.941
2022-06-01,134.75
2022-07-01,135.378
2022-08-01,135.683
2022-09-01,133.58
2022-10-01,132.705
2022-11-01,131.345
2022-12-01,130.192
2023-01-01,130.091
2023-02-01,129.869
2023-03-01,130.479
2023-04-01,132.283
2023-05-01,133.68
2023-06-01,134.271
2023-07-01,134.118
2023-08-01,133.564
2023-09-01,131.331
2023-10-01,130.585
2023-11-01,130.451
