"Date","CUURA102SAR"
1997-12-01,100
1998-01-01,NA
1998-02-01,100.3
1998-03-01,NA
1998-04-01,99.9
1998-05-01,NA
1998-06-01,101.2
1998-07-01,NA
1998-08-01,102.2
1998-09-01,NA
1998-10-01,102.7
1998-11-01,NA
1998-12-01,102
1999-01-01,NA
1999-02-01,100.6
1999-03-01,NA
1999-04-01,102.9
1999-05-01,NA
1999-06-01,102.4
1999-07-01,NA
1999-08-01,103.6
1999-09-01,NA
1999-10-01,103.6
1999-11-01,NA
1999-12-01,104.2
2000-01-01,NA
2000-02-01,107.5
2000-03-01,NA
2000-04-01,106.7
2000-05-01,NA
2000-06-01,107.3
2000-07-01,NA
2000-08-01,109
2000-09-01,NA
2000-10-01,107.9
2000-11-01,NA
2000-12-01,105.8
2001-01-01,NA
2001-02-01,106.1
2001-03-01,NA
2001-04-01,107.9
2001-05-01,NA
2001-06-01,108
2001-07-01,NA
2001-08-01,109.4
2001-09-01,NA
2001-10-01,108.9
2001-11-01,NA
2001-12-01,106.1
2002-01-01,NA
2002-02-01,107.5
2002-03-01,NA
2002-04-01,108.4
2002-05-01,NA
2002-06-01,107.5
2002-07-01,NA
2002-08-01,106.9
2002-09-01,NA
2002-10-01,107.2
2002-11-01,NA
2002-12-01,106.8
2003-01-01,NA
2003-02-01,109
2003-03-01,NA
2003-04-01,109.4
2003-05-01,NA
2003-06-01,110.3
2003-07-01,NA
2003-08-01,110.7
2003-09-01,NA
2003-10-01,108.6
2003-11-01,NA
2003-12-01,109
2004-01-01,NA
2004-02-01,111.7
2004-03-01,NA
2004-04-01,112.2
2004-05-01,NA
2004-06-01,112.7
2004-07-01,NA
2004-08-01,113.6
2004-09-01,NA
2004-10-01,114.9
2004-11-01,NA
2004-12-01,114.3
2005-01-01,NA
2005-02-01,114.4
2005-03-01,NA
2005-04-01,117.2
2005-05-01,NA
2005-06-01,115.2
2005-07-01,NA
2005-08-01,113.2
2005-09-01,NA
2005-10-01,113.3
2005-11-01,NA
2005-12-01,114.4
2006-01-01,NA
2006-02-01,114.5
2006-03-01,NA
2006-04-01,115.4
2006-05-01,NA
2006-06-01,115.4
2006-07-01,NA
2006-08-01,114.6
2006-09-01,NA
2006-10-01,115.3
2006-11-01,NA
2006-12-01,115.3
2007-01-01,NA
2007-02-01,116.165
2007-03-01,NA
2007-04-01,117.177
2007-05-01,NA
2007-06-01,117.339
2007-07-01,NA
2007-08-01,117.934
2007-09-01,NA
2007-10-01,118.155
2007-11-01,NA
2007-12-01,118.713
2008-01-01,NA
2008-02-01,122.79
2008-03-01,NA
2008-04-01,123.065
2008-05-01,NA
2008-06-01,122.995
2008-07-01,NA
2008-08-01,122.572
2008-09-01,NA
2008-10-01,122.998
2008-11-01,NA
2008-12-01,122.41
2009-01-01,NA
2009-02-01,122.972
2009-03-01,NA
2009-04-01,123.447
2009-05-01,NA
2009-06-01,122.619
2009-07-01,NA
2009-08-01,123.057
2009-09-01,NA
2009-10-01,122.795
2009-11-01,NA
2009-12-01,120.653
2010-01-01,NA
2010-02-01,120.299
2010-03-01,NA
2010-04-01,121.604
2010-05-01,NA
2010-06-01,123.959
2010-07-01,NA
2010-08-01,123.761
2010-09-01,NA
2010-10-01,123.795
2010-11-01,NA
2010-12-01,119.002
2011-01-01,NA
2011-02-01,121.985
2011-03-01,NA
2011-04-01,121.987
2011-05-01,NA
2011-06-01,122.202
2011-07-01,NA
2011-08-01,122.283
2011-09-01,NA
2011-10-01,124.989
2011-11-01,NA
2011-12-01,125.98
2012-01-01,NA
2012-02-01,124.92
2012-03-01,NA
2012-04-01,124.113
2012-05-01,NA
2012-06-01,123.236
2012-07-01,NA
2012-08-01,123.746
2012-09-01,NA
2012-10-01,123.282
2012-11-01,NA
2012-12-01,123.653
2013-01-01,NA
2013-02-01,123.694
2013-03-01,NA
2013-04-01,123.631
2013-05-01,NA
2013-06-01,123.95
2013-07-01,NA
2013-08-01,125.114
2013-09-01,NA
2013-10-01,124.324
2013-11-01,NA
2013-12-01,124.653
2014-01-01,NA
2014-02-01,125.667
2014-03-01,NA
2014-04-01,125.019
2014-05-01,NA
2014-06-01,125.297
2014-07-01,NA
2014-08-01,124.836
2014-09-01,NA
2014-10-01,124.147
2014-11-01,NA
2014-12-01,123.093
2015-01-01,NA
2015-02-01,123.83
2015-03-01,NA
2015-04-01,125.434
2015-05-01,NA
2015-06-01,125.423
2015-07-01,NA
2015-08-01,123.889
2015-09-01,NA
2015-10-01,123.489
2015-11-01,NA
2015-12-01,123.357
2016-01-01,NA
2016-02-01,123.987
2016-03-01,NA
2016-04-01,122.753
2016-05-01,NA
2016-06-01,122.821
2016-07-01,NA
2016-08-01,121.703
2016-09-01,NA
2016-10-01,121.863
2016-11-01,NA
2016-12-01,122.801
2017-01-01,NA
2017-02-01,124.295
2017-03-01,NA
2017-04-01,123.055
2017-05-01,NA
2017-06-01,122.888
2017-07-01,NA
2017-08-01,122.74
2017-09-01,NA
2017-10-01,121.572
2017-11-01,NA
2017-12-01,122.355
2018-01-01,NA
2018-02-01,117.524
2018-03-01,NA
2018-04-01,119.38
2018-05-01,NA
2018-06-01,119.553
2018-07-01,NA
2018-08-01,119.693
2018-09-01,NA
2018-10-01,117.734
2018-11-01,NA
2018-12-01,120.886
2019-01-01,NA
2019-02-01,120.123
2019-03-01,NA
2019-04-01,123
2019-05-01,NA
2019-06-01,124.27
2019-07-01,NA
2019-08-01,125.525
2019-09-01,NA
2019-10-01,122.272
2019-11-01,NA
2019-12-01,126.35
2020-01-01,NA
2020-02-01,126.383
2020-03-01,NA
2020-04-01,125.139
2020-05-01,NA
2020-06-01,125.3
2020-07-01,NA
2020-08-01,126.137
2020-09-01,NA
2020-10-01,125.998
2020-11-01,NA
2020-12-01,124.668
2021-01-01,NA
2021-02-01,126.299
2021-03-01,NA
2021-04-01,125.476
2021-05-01,NA
2021-06-01,128.137
2021-07-01,NA
2021-08-01,127.16
2021-09-01,NA
2021-10-01,128.287
2021-11-01,NA
2021-12-01,128.821
2022-01-01,NA
2022-02-01,131.675
2022-03-01,NA
2022-04-01,131.231
2022-05-01,NA
2022-06-01,132.941
2022-07-01,NA
2022-08-01,131.309
2022-09-01,NA
2022-10-01,132.715
2022-11-01,NA
2022-12-01,132.791
2023-01-01,NA
2023-02-01,133.656
2023-03-01,NA
2023-04-01,134.502
2023-05-01,NA
2023-06-01,134.754
2023-07-01,NA
2023-08-01,134.441
2023-09-01,NA
2023-10-01,132.016
